 ,340999 ,LETTUCE HEAD ,69 ,San Benito ,2082 ,20.45 ,42577 ,294.01 ,TON ,12518000
2007 ,340999 ,LETTUCE HEAD ,79 ,San Luis Obispo ,6228 ,17.43 ,108523 ,293.60 ,TON ,31862000
2007 ,340999 ,LETTUCE HEAD ,83 ,Santa Barbara ,12835 ,18.42 ,236398 ,371.60 ,TON ,87845600
2007 ,340999 ,LETTUCE HEAD ,87 ,Santa Cruz ,1986 ,18.90 ,37535 ,183.00 ,TON ,6869000
2007 ,340999 ,LETTUCE HEAD ,111 ,Ventura ,198 ,17.63 ,3490 ,226.07 ,TON ,789000
2007 ,340999 ,LETTUCE HEAD , 999, State Totals,117136 ,19.37 ,2269434 ,369.28
