0US3609","1"," 34","           282","             0","           775"
"50000US3609","1"," 35","         2,836","           824","         4,848"
"50000US3609","1"," 36","             0","             0","           503"
"50000US3609","1"," 37","             N","             N","             N"
"50000US3609","1"," 38","             N","             N","             N"
"50000US3609","1"," 39","             N","             N","             N"
"50000US3609","1"," 40","             N","             N","  
