",.,"Universe:  Owner-occupied mobile homes",,,,
"B25083",1.000,"Median value (dollars)","23,400","+/-13,777","9,623","37,177"
"B25085",.,"PRICE ASKED",,,,
"B25085",.,"Universe:  Vacant-for-sale-only and sold, not occupied housing units",,,,
"B25085",1.000,"Total:","N","N","N","N"
"B25085",2.000,"Less than $10,000","N","N","N","N"
"B25085",3.000,"$10,000 to $14,999","N","N","N","N"
"B25085",4.000,"$15,000 to $19,999","N","N","N","N"
"B25085",5.000,"$20,000 to $24,999","N","N","N","N"
"B25085",6.000,"$25,000
