$5,000 to $7,499","738","+/-451","287","1,189"
"B20005G",32.000,"$7,500 to $9,999","248","+/-255","0","503"
"B20005G",33.000,"$10,000 to $12,499","804","+/-491","313","1,295"
"B20005G",34.000,"$12,500 to $14,999","358","+/-298","60","656"
"B20005G",35.000,"$15,000 to $17,499","388","+/-318","70","706"
"B20005G",36.000,"$17,500 to $19,999","121","+/-146","0","267"
"B20005G",37.000,"$20,000 to $22,499","291","+/-214","77","505"
"B20005G",38.000,"$22,500 to $24,999","153","+/-130","23","283"
"B20005G",39.000,"
