 is White alone",,,,
"B19025A",1.000,"Aggregate household income in the past 12 months (in 2007 inflation-adjusted dollars)","9,873,181,600","+/-350,303,135","9,522,878,465","10,223,484,735"
"B19025B",.,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER)",,,,
"B19025B",.,"Universe:  Households with a householder who is Black or African American alone",,,,
"B19025B",1.000,"Aggregate household income in the past 12 months (in 200
