7.6","+/-0.8","22.7","+/-0.5",,,,,,
"S2502",24.0,"Moved in 1980 to 1989","11.3","+/-0.3","15.7","+/-0.6","9.1","+/-0.3",,,,,,
"S2502",25.0,"Moved in 1970 to 1979","8.8","+/-0.2","10.9","+/-0.4","7.7","+/-0.3",,,,,,
"S2502",26.0,"Moved in 1969 or earlier","6.4","+/-0.2","10.5","+/-0.4","4.4","+/-0.2",,,,,,
"S2502",26.3,,,,,,,,,,,,,
"S2502",26.5,"PERCENT IMPUTED",,,,,,,,,,,,
"S2502",27.0,"Tenure","0.7","(X)","(X)","(X)","(X)","(X)",,,,,,
"S2502",28.0,"Year householder moved into unit","4.7","(X)","(X)","(X)",
