, sports, and media occupations","N","N","N","N"
"B24010D",47.000,"Healthcare practitioner and technical occupations","N","N","N","N"
"B24010D",48.000,"Service occupations:","N","N","N","N"
"B24010D",49.000,"Healthcare support occupations","N","N","N","N"
"B24010D",50.000,"Protective service occupations","N","N","N","N"
"B24010D",51.000,"Food preparation and serving related occupations","N","N","N","N"
"B24010D",52.000,"Building and grounds cleaning and maintenance occupations","N","N","N","N"
"B24010D",53.
