00,"Mining","-","**","**","**"
"B24032",5.000,"Construction","45,277","+/-5,065","40,212","50,342"
"B24032",6.000,"Manufacturing","68,585","+/-8,767","59,818","77,352"
"B24032",7.000,"Wholesale trade","39,379","+/-9,118","30,261","48,497"
"B24032",8.000,"Retail trade","36,302","+/-4,233","32,069","40,535"
"B24032",9.000,"Transportation and warehousing, and utilities:","50,675","+/-2,196","48,479","52,871"
"B24032",10.000,"Transportation and warehousing","49,585","+/-3,220","46,365","52,805"
"B24032",11.000,
