",57.000,"$20,000 to $24,999","4,374","+/-1,075","3,299","5,449"
"B19037",58.000,"$25,000 to $29,999","4,764","+/-1,076","3,688","5,840"
"B19037",59.000,"$30,000 to $34,999","4,808","+/-843","3,965","5,651"
"B19037",60.000,"$35,000 to $39,999","3,161","+/-930","2,231","4,091"
"B19037",61.000,"$40,000 to $44,999","4,359","+/-1,231","3,128","5,590"
"B19037",62.000,"$45,000 to $49,999","2,947","+/-834","2,113","3,781"
"B19037",63.000,"$50,000 to $59,999","5,057","+/-1,128","3,929","6,185"
"B19037",64.000,"$60,
