n labor force","55.4%","2.3","49.5%","2.2","*"
"DP03",13.0,"Employed","51.1%","2.5","46.1%","2.2",
"DP03",13.3,,,,,,
"DP03",14.0,"Own children under 6 years","6,642","370","5,751","644",
"DP03",15.0,"All parents in family in labor force","79.6%","5.6","72.1%","7.4",
"DP03",15.3,,,,,,
"DP03",16.0,"Own children 6 to 17 years","14,417","497","15,110","466",
"DP03",17.0,"All parents in family in labor force","78.2%","4.2","68.4%","4.9",
"DP03",17.3,,,,,,
"DP03",17.5,"COMMUTING TO WORK",,,,,
"DP03",18.0,"Workers
