ent, and recreation, and accommodation and food services:","2,112","+/-732","1,380","2,844"
"B24050",51.000,"Arts, entertainment, and recreation","96","+/-77","19","173"
"B24050",52.000,"Accommodation and food services","2,016","+/-745","1,271","2,761"
"B24050",53.000,"Other services, except public administration","2,413","+/-790","1,623","3,203"
"B24050",54.000,"Public administration","4,990","+/-1,152","3,838","6,142"
"B24050",55.000,"Service occupations:","39,409","+/-3,227","36,182","42,636"
"B24050",56
