1",4.0,"10 to 14 years","6.4","+/-1.0","6.4","+/-1.2","6.3","+/-1.4",,,,,,
"S0101",5.0,"15 to 19 years","7.9","+/-1.1","9.1","+/-1.7","6.7","+/-1.7",,,,,,
"S0101",6.0,"20 to 24 years","5.4","+/-1.1","5.1","+/-1.6","5.7","+/-1.5",,,,,,
"S0101",7.0,"25 to 29 years","8.3","+/-1.1","9.3","+/-1.9","7.3","+/-1.0",,,,,,
"S0101",8.0,"30 to 34 years","5.8","+/-0.9","6.1","+/-1.3","5.4","+/-1.4",,,,,,
"S0101",9.0,"35 to 39 years","6.3","+/-1.1","5.6","+/-1.3","7.0","+/-1.7",,,,,,
"S0101",10.0,"40 to 44 years","8.5","
