8.000,"Under 18 years","3,063","+/-1,261","1,802","4,324"
"C17001",9.000,"18 to 64 years","4,681","+/-1,207","3,474","5,888"
"C17001",10.000,"65 years and over","431","+/-321","110","752"
"C17001",11.000,"Income in the past 12 months at or above poverty level:","95,195","+/-6,229","88,966","101,424"
"C17001",12.000,"Male:","46,513","+/-3,316","43,197","49,829"
"C17001",13.000,"Under 18 years","10,746","+/-1,364","9,382","12,110"
"C17001",14.000,"18 to 64 years","30,141","+/-2,681","27,460","32,822"
"C17001"
