$30,000 to $34,999","N","N","N","N"
"B19037B",9.000,"$35,000 to $39,999","N","N","N","N"
"B19037B",10.000,"$40,000 to $44,999","N","N","N","N"
"B19037B",11.000,"$45,000 to $49,999","N","N","N","N"
"B19037B",12.000,"$50,000 to $59,999","N","N","N","N"
"B19037B",13.000,"$60,000 to $74,999","N","N","N","N"
"B19037B",14.000,"$75,000 to $99,999","N","N","N","N"
"B19037B",15.000,"$100,000 to $124,999","N","N","N","N"
"B19037B",16.000,"$125,000 to $149,999","N","N","N","N"
"B19037B",17.000,"$150,000 to $199,999","
