000US4824","1"," 35","         5,110","             0","        10,370"
"50000US4824","1"," 36","           228","             0","           600"
"50000US4824","1"," 37","             N","             N","             N"
"50000US4824","1"," 38","             N","             N","             N"
"50000US4824","1"," 39","             N","             N","             N"
"50000US4824","1"," 40","             N","             N","             N"
"50000US4824","1"," 41","       122,156","        97,557","
