otal population",79,"Kindergarten",,,"5.6","+/-0.9"
"001","Total population",80,"Elementary school (grades 1-8)",,,"43.6","+/-1.7"
"001","Total population",81,"High school (grades 9-12)",,,"24.0","+/-1.5"
"001","Total population",82,"College or graduate school",,,"22.2","+/-1.8"
"001","Total population",83,"Male 3 years and over enrolled in school",,,"96,113","+/-4,346"
"001","Total population",84,"Percent enrolled in kindergarten to grade 12",,,"74.5","+/-2.8"
"001","Total population",85,"Percent enrolled 
