5.0,"Total population","101,459","*****","102,838","*****","c"
"DP02",86.0,"Native","99.0%","0.4","99.7%","0.1","*"
"DP02",87.0,"Born in United States","98.6%","0.4","99.5%","0.2","*"
"DP02",88.0,"State of residence","86.9%","1.0","84.9%","1.1",
"DP02",89.0,"Different state","11.7%","1.0","14.6%","1.1","*"
"DP02",90.0,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","0.4%","0.2","0.2%","0.1",
"DP02",91.0,"Foreign born","1.0%","0.4","0.3%","0.1","*"
"DP02",91.3,,,,,,
"DP02",91.5
