ak","0.0%","0.1","0.1%","0.1",
"DP02",143.0,"Subsaharan African","4.1%","0.5","4.3%","0.4",
"DP02",144.0,"Swedish","0.3%","0.1","0.4%","0.1",
"DP02",145.0,"Swiss","0.1%","0.1","0.1%","0.1",
"DP02",146.0,"Ukrainian","0.1%","0.1","0.2%","0.1",
"DP02",147.0,"Welsh","0.3%","0.1","0.3%","0.1",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","2.6%","0.3","2.7%","0.3",
"DP03",0.0,,,,,,
"DP03",0.5,,,,,,
"DP03",0.8,,,,,,
"DP03",1.0,"Population 16 years and over","528,713","5,464","527,128","3,407",
"DP
