y race)",18,"18 years and over","76.2","+/-0.1","65.3","*****"
"400","Hispanic or Latino (of any race)",19,"21 years and over","71.5","+/-0.3","60.1","+/-0.4"
"400","Hispanic or Latino (of any race)",20,"62 years and over","17.8","+/-0.2","8.1","+/-0.3"
"400","Hispanic or Latino (of any race)",21,"65 years and over","14.8","+/-0.1","6.7","*****"
"400","Hispanic or Latino (of any race)",22,"Under 18 years","229,964","+/-192","109,667","*****"
"400","Hispanic or Latino (of any race)",23,"Male","51.1","+/-0.3"
