19001A",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER)",,,,
"B19001A",.,"Universe:  Households with a householder who is White alone",,,,
"B19001A",1.000,"Total:","225,175","+/-3,332","221,843","228,507"
"B19001A",2.000,"Less than $10,000","26,812","+/-2,459","24,353","29,271"
"B19001A",3.000,"$10,000 to $14,999","22,711","+/-2,380","20,331","25,091"
"B19001A",4.000,"$15,000 to $19,999","18,751","+/-1,748","17,003","20,499"
"B19001A",5.000,"$20,000 t
