000,"Total:","209,758","+/-6,064","203,694","215,822"
"C08014",2.000,"No vehicle available","6,652","+/-1,572","5,080","8,224"
"C08014",3.000,"1 vehicle available","41,856","+/-3,632","38,224","45,488"
"C08014",4.000,"2 vehicles available","94,466","+/-5,434","89,032","99,900"
"C08014",5.000,"3 or more vehicles available","66,784","+/-4,987","61,797","71,771"
"C08014",6.000,"Male:","114,306","+/-3,648","110,658","117,954"
"C08014",7.000,"No vehicle available","3,661","+/-1,074","2,587","4,735"
"C08014",8.00
