le householder, no husband present, family","20.0","+/-1.4","34.0","+/-4.2"
"070","Some other race alone",234,"Median income (dollars)","28,405","+/-1,918","24,247","+/-1,838"
"070","Some other race alone",235,"Individuals","967,089","*****","170,915","+/-8,464"
"070","Some other race alone",236,"Per capita income (dollars)","24,319","+/-495","14,556","+/-1,077"
"070","Some other race alone",237,"Male","161,264","+/-4,372","31,361","+/-2,728"
"070","Some other race alone",238,"Female","111,786","+/-4,830","
