S1002",2.0,"One race","N","N","N","N","N","N","N","N",,,,
"S1002",3.0,"White","62.1","+/-0.9","61.5","+/-1.5","61.3","+/-1.7","61.9","+/-2.3",,,,
"S1002",4.0,"Black or African American","23.1","+/-0.9","29.3","+/-1.3","28.1","+/-1.6","32.2","+/-2.2",,,,
"S1002",5.0,"American Indian and Alaska Native","0.8","+/-0.2","1.0","+/-0.3","1.2","+/-0.4","0.6","+/-0.4",,,,
"S1002",6.0,"Asian","5.6","+/-0.5","2.0","+/-0.4","1.7","+/-0.5","2.8","+/-0.8",,,,
"S1002",7.0,"Native Hawaiian and Other Pacific Islander","N","
