7014",.,"Universe:  Families",,,,
"C17014",1.000,"Total:","25,446","+/-1,627","23,819","27,073"
"C17014",2.000,"Income in the past 12 months below poverty level:","2,664","+/-851","1,813","3,515"
"C17014",3.000,"No workers","1,025","+/-488","537","1,513"
"C17014",4.000,"1 worker","1,396","+/-686","710","2,082"
"C17014",5.000,"2 workers","131","+/-154","0","285"
"C17014",6.000,"3 or more workers","112","+/-131","0","243"
"C17014",7.000,"Income in the past 12 months at or above poverty level:","22,782","+/-1,
