ry, fishing and hunting, and mining:","45,938","+/-19,158","26,780","65,096"
"B24042",30.000,"Agriculture, forestry, fishing and hunting","49,145","+/-17,448","31,697","66,593"
"B24042",31.000,"Mining","34,849","+/-10,230","24,619","45,079"
"B24042",32.000,"Construction","37,641","+/-3,699","33,942","41,340"
"B24042",33.000,"Manufacturing","35,472","+/-2,268","33,204","37,740"
"B24042",34.000,"Wholesale trade","35,899","+/-2,668","33,231","38,567"
"B24042",35.000,"Retail trade","26,486","+/-1,150","25,336",
