000,"No vehicle available","1,087","+/-581","506","1,668"
"B08203",21.000,"1 vehicle available","5,061","+/-1,179","3,882","6,240"
"B08203",22.000,"2 vehicles available","25,928","+/-2,461","23,467","28,389"
"B08203",23.000,"3 vehicles available","12,045","+/-1,558","10,487","13,603"
"B08203",24.000,"4 or more vehicles available","3,207","+/-793","2,414","4,000"
"B08203",25.000,"3 or more workers:","7,568","+/-1,314","6,254","8,882"
"B08203",26.000,"No vehicle available","143","+/-229","0","372"
"B08203",27
