482999 ,APIARY PRODUCTS BEESWAX ,25 ,Imperial ,  ,  ,31413 ,1.81 ,LBS ,57000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,29 ,Kern ,  ,  ,373000 ,1.97 ,LBS ,734000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,31 ,Kings ,  ,  ,21160 ,1.94 ,LBS ,41000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,37 ,Los Angeles ,  ,  ,115 ,8.70 ,LBS ,1000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,39 ,Madera ,  ,  ,19900 ,1.21 ,LBS ,24000
2007 ,482999 ,APIARY PRODUCTS BEESWAX ,47 ,Merced ,  ,  ,41540 ,2.12 ,LBS ,88000
2007 ,482999 ,APIARY PR
