portation, and material moving occupations","235,581","+/-9,086","9.2","+/-0.3"
"DP03",32.3,,,,,
"DP03",32.5,"INDUSTRY",,,,
"DP03",33.0,"Civilian employed population 16 years and over","2,555,886","+/-13,970","100","(X)"
"DP03",34.0,"Agriculture, forestry, fishing and hunting, and mining","11,456","+/-1,958","0.4","+/-0.1"
"DP03",35.0,"Construction","225,580","+/-8,818","8.8","+/-0.3"
"DP03",36.0,"Manufacturing","139,292","+/-6,538","5.4","+/-0.3"
"DP03",37.0,"Wholesale trade","114,812","+/-6,411","4.5","+/
