4)",186,"Sales and office occupations","18.7","+/-1.7","18.7","+/-3.6"
"573","American (993-994)",187,"Farming, fishing, and forestry occupations","0.7","+/-0.4","0.4","+/-0.5"
"573","American (993-994)",188,"Construction, extraction, maintenance, and repair occupations","17.9","+/-1.8","17.5","+/-3.7"
"573","American (993-994)",189,"Production, transportation, and material moving occupations","26.2","+/-1.9","31.0","+/-4.0"
"573","American (993-994)",190,"Female civilian employed population 16 years and ov
