302",15.0,"No workers in the past 12 months","11.9","+/-0.1","4.0","+/-0.1",,,,,,,,
"S2302",16.0,"1 worker in the past 12 months","30.2","+/-0.2","36.6","+/-0.3",,,,,,,,
"S2302",17.0,"2 or more workers in the past 12 months","57.9","+/-0.2","59.4","+/-0.3",,,,,,,,
"S2302",17.3,,,,,,,,,,,,,
"S2302",18.0,"Married-couple families","9,617,608","+/-33,606","4,183,938","+/-22,562",,,,,,,,
"S2302",19.0,"Householder worked full-time, year-round in the past 12 months","54.8","+/-0.2","66.5","+/-0.3",,,,,,,,
"S2302",
