bor force","53,692","3,091","51,072","2,404",
"DP03",9.0,"Unemployed","7.1","**","4.9","**",
"DP03",9.3,,,,,,
"DP03",10.0,"Females 16 years and over","49,003","2,248","49,305","2,312",
"DP03",11.0,"In labor force","49.2%","2.2","51.2%","2.1",
"DP03",12.0,"Civilian labor force","49.2%","2.2","51.1%","2.1",
"DP03",13.0,"Employed","45.9%","2.2","48.9%","2.2",
"DP03",13.3,,,,,,
"DP03",14.0,"Own children under 6 years","4,481","744","6,467","986",
"DP03",15.0,"All parents in family in labor force","58.7%","11.2"
