","English (015, 022)",79,"Kindergarten","4.7","+/-0.8","6.5","+/-3.2"
"529","English (015, 022)",80,"Elementary school (grades 1-8)","42.8","+/-1.9","46.0","+/-6.8"
"529","English (015, 022)",81,"High school (grades 9-12)","23.1","+/-1.4","16.3","+/-4.7"
"529","English (015, 022)",82,"College or graduate school","23.9","+/-1.7","25.6","+/-6.4"
"529","English (015, 022)",83,"Male 3 years and over enrolled in school","71,343","+/-2,584","7,759","+/-1,435"
"529","English (015, 022)",84,"Percent enrolled in ki
