.2"
"DP05",12.0,"55 to 59 years","22,089","+/-1,226","5.8","+/-0.3"
"DP05",13.0,"60 to 64 years","17,351","+/-1,272","4.6","+/-0.3"
"DP05",14.0,"65 to 74 years","22,537","+/-298","5.9","+/-0.1"
"DP05",15.0,"75 to 84 years","15,996","+/-870","4.2","+/-0.2"
"DP05",16.0,"85 years and over","6,392","+/-752","1.7","+/-0.2"
"DP05",16.3,,,,,
"DP05",17.0,"Median age (years)","37.1","+/-0.3","(X)","(X)"
"DP05",17.3,,,,,
"DP05",18.0,"18 years and over","290,258","+/-510","76.3","+/-0.1"
"DP05",19.0,"21 years and over
