xican",234,"Median income (dollars)","32,279","+/-2,998","29,022","+/-11,071"
"401","Mexican",235,"Individuals","803,060","+/-8,136","128,618","+/-5,824"
"401","Mexican",236,"Per capita income (dollars)","27,590","+/-794","13,381","+/-1,077"
"401","Mexican",237,"Male","153,585","+/-5,875","25,860","+/-2,549"
"401","Mexican",238,"Female","99,887","+/-4,786","10,472","+/-1,900"
"401","Mexican",239,"Male","56,893","+/-2,100","33,533","+/-2,471"
"401","Mexican",240,"Female","41,124","+/-1,995","29,161","+/-2,28
