"
"529","English (015, 022)",197,"Agriculture, forestry, fishing and hunting, and mining","0.9","+/-0.2","1.2","+/-0.8"
"529","English (015, 022)",198,"Construction","8.2","+/-0.7","5.4","+/-1.9"
"529","English (015, 022)",199,"Manufacturing","7.7","+/-0.7","9.5","+/-2.3"
"529","English (015, 022)",200,"Wholesale trade","2.1","+/-0.4","1.0","+/-0.7"
"529","English (015, 022)",201,"Retail trade","11.4","+/-0.7","12.0","+/-2.5"
"529","English (015, 022)",202,"Transportation and warehousing, and utilities","4.
