nder 18 years","719,315,300","+/-194,554,191","524,761,109","913,869,491"
"B19128",11.000,"No own children under 18 years","1,166,336,200","+/-197,729,350","968,606,850","1,364,065,550"
"B19129",.,"AGGREGATE FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY NUMBER OF WORKERS IN FAMILY",,,,
"B19129",.,"Universe:  Families",,,,
"B19129",1.000,"Aggregate family income in the past 12 months (in 2007 inflation-adjusted dollars):","23,019,597,900","+/-732,504,720","22,287,093,180","23,75
