, maintenance, and repair occupations including supervisors","259","+/-263","0","522"
"B24010",233.000,"Production, transportation, and material moving occupations:","7,282","+/-1,501","5,781","8,783"
"B24010",234.000,"Production occupations:","3,842","+/-1,171","2,671","5,013"
"B24010",235.000,"Assemblers and fabricators","719","+/-404","315","1,123"
"B24010",236.000,"Food processing workers","489","+/-542","0","1,031"
"B24010",237.000,"Metal workers and plastic workers","128","+/-212","0","340"
"B24010",2
