25085",.,"PRICE ASKED",,,,
"C25085",.,"Universe:  Vacant-for-sale-only and sold, not occupied housing units",,,,
"C25085",1.000,"Total:","11,476","+/-2,361","9,115","13,837"
"C25085",2.000,"Less than $60,000","1,014","+/-694","320","1,708"
"C25085",3.000,"$60,000 to $99,999","353","+/-410","0","763"
"C25085",4.000,"$100,000 to $149,999","709","+/-615","94","1,324"
"C25085",5.000,"$150,000 to $199,999","2,809","+/-957","1,852","3,766"
"C25085",6.000,"$200,000 to $299,999","3,118","+/-1,246","1,872","4,364"
"
