5.000,"High school graduate (includes equivalency)","28,265","+/-3,603","24,662","31,868"
"B20004",16.000,"Some college or associate's degree","37,997","+/-2,738","35,259","40,735"
"B20004",17.000,"Bachelor's degree","50,849","+/-2,165","48,684","53,014"
"B20004",18.000,"Graduate or professional degree","73,115","+/-9,378","63,737","82,493"
"B20005",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER",,,,
