0 to $19,999","1,027","+/-435","592","1,462"
"C20005F",36.000,"$20,000 to $29,999","644","+/-383","261","1,027"
"C20005F",37.000,"$30,000 to $49,999","698","+/-302","396","1,000"
"C20005F",38.000,"$50,000 to $74,999","322","+/-264","58","586"
"C20005F",39.000,"$75,000 or more","0","+/-292","0","292"
"C20005G",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (TWO OR MORE RACES)",,,,
"C20005G",.,"Univers
