panic or Latino (of any race)",192,"Service occupations","23.9","+/-1.9","38.0","+/-5.1"
"400","Hispanic or Latino (of any race)",193,"Sales and office occupations","36.9","+/-2.2","30.1","+/-5.1"
"400","Hispanic or Latino (of any race)",194,"Farming, fishing, and forestry occupations","0.1","+/-0.1","0.0","+/-0.8"
"400","Hispanic or Latino (of any race)",195,"Construction, extraction, maintenance, and repair occupations","1.1","+/-0.5","0.6","+/-0.9"
"400","Hispanic or Latino (of any race)",196,"Production
