Supervisors, transportation and material moving workers, and other transportation workers except motor vehicle operators","7,190","+/-1,252","5,938","8,442"
"C24020",37.000,"Motor vehicle operators","34,322","+/-2,804","31,518","37,126"
"C24020",38.000,"Material moving workers","22,047","+/-2,498","19,549","24,545"
"C24020",39.000,"Female:","658,168","+/-9,817","648,351","667,985"
"C24020",40.000,"Management, professional, and related occupations:","316,341","+/-7,801","308,540","324,142"
"C24020",41.000,"M
