",50.000,"Furniture and home furnishings, and household appliance stores","1,156","+/-640","516","1,796"
"B24040",51.000,"Radio, TV, and computer and software, and other electronic stores","1,261","+/-635","626","1,896"
"B24040",52.000,"Building material and garden equipment and supplies dealers","1,128","+/-529","599","1,657"
"B24040",53.000,"Food and beverage stores","2,375","+/-1,108","1,267","3,483"
"B24040",54.000,"Pharmacies and drug stores","571","+/-423","148","994"
"B24040",55.000,"Other health and
