der,50,4,45,1,0,-,-,-,-,-
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,2,-,1,2,-,-,-,-,-,-
..Living with nonrelatives,1,-,1,-,-,-,-,-,-,-
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,8,1,4,2,-,-,-,-,-,-
..Other,"3,757",604,"3,090",36,23,1,3,-,-,-
.NONRELATIVE,,,,,,,,,,
..Nonrelative,115,30,84,1,-,-,-,-,-,-
18 to 24 years,,,,,,,,,,
.Total,"8,553",78,"1,175","2,259","3,479",457,"1,058",47,-,-
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,473,4,47,165,131,51,68,6,-,-
..Other family hous
