5,000 to $99,999","34,148","+/-3,087","31,061","37,235"
"C19001",9.000,"$100,000 to $149,999","34,577","+/-2,681","31,896","37,258"
"C19001",10.000,"$150,000 to $199,999","9,556","+/-1,679","7,877","11,235"
"C19001",11.000,"$200,000 or more","13,810","+/-1,600","12,210","15,410"
"C19001A",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER)",,,,
"C19001A",.,"Universe:  Households with a householder who is White alone",,,,
"C19001A",1.000,"Total:","241,593"
