
.Total,"14,872",152,666,"4,504","2,766","1,819","3,452","1,150",216,148
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"4,042",28,165,"1,134",711,476,"1,071",357,65,37
..Other family householder,"1,864",28,124,609,443,282,276,80,16,4
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"1,020",8,37,196,180,114,308,120,25,31
..Living with nonrelatives,257,4,15,80,55,14,49,28,2,10
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"6,439",51,227,"1,970","1,142",809,"1,569",505,101,65
..Other,659,27,39,2
