0,"$50,000 to $74,999","55,720","+/-3,795","19.0","+/-1.3"
"DP03",59.0,"$75,000 to $99,999","32,637","+/-2,196","11.1","+/-0.7"
"DP03",60.0,"$100,000 to $149,999","23,490","+/-2,104","8.0","+/-0.7"
"DP03",61.0,"$150,000 to $199,999","5,381","+/-1,123","1.8","+/-0.4"
"DP03",62.0,"$200,000 or more","5,117","+/-961","1.7","+/-0.3"
"DP03",63.0,"Median household income (dollars)","41,714","+/-961","(X)","(X)"
"DP03",64.0,"Mean household income (dollars)","53,916","+/-1,387","(X)","(X)"
"DP03",64.3,,,,,
"DP03",65
