rn",62,"Divorced","12.3","+/-0.7","9.8","+/-1.6"
"601","Foreign born",63,"Separated","2.1","+/-0.3","3.4","+/-0.9"
"601","Foreign born",64,"Never married","33.0","+/-0.7","25.0","+/-2.1"
"601","Foreign born",65,"Male 15 years and over","376,097","+/-807","57,732","+/-4,078"
"601","Foreign born",66,"Now married, except separated","48.4","+/-1.2","56.7","+/-3.6"
"601","Foreign born",67,"Widowed","2.8","+/-0.4","2.1","+/-0.9"
"601","Foreign born",68,"Divorced","9.9","+/-0.8","7.6","+/-2.0"
"601","Foreign born"
