302,302
.Creston town,Washington,228,230,232,232,232
.Davenport city,Washington,"1,703","1,710","1,727","1,730","1,730"
.Harrington city,Washington,416,421,425,426,426
.Odessa town,Washington,936,945,955,957,957
.Reardan town,Washington,599,602,607,608,608
.Sprague city,Washington,485,491,491,490,490
.Wilbur town,Washington,894,903,913,914,914
.Balance of Lincoln County,Washington,"4,540","4,541","4,532","4,525","4,525"
Mason County,Washington,"51,008","50,225","49,581","49,405","49,405"
.Shelton city,Washi
