ed","1,669","+/-645","1,024","2,314"
"B23002A",78.000,"Unemployed","64","+/-104","0","168"
"B23002A",79.000,"Not in labor force","27,427","+/-1,103","26,324","28,530"
"B23002B",.,"SEX BY AGE BY EMPLOYMENT STATUS FOR THE POPULATION 16 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B23002B",.,"Universe:  Black or African American alone population 16 years and over",,,,
"B23002B",1.000,"Total:","N","N","N","N"
"B23002B",2.000,"Male:","N","N","N","N"
"B23002B",3.000,"16 to 19 years:","N","N","N","N"
"B2
