her races",252,"All people","17.9","+/-1.5","17.1","+/-1.4"
"003","White alone or in combination with one or more other races",253,"Under 18 years","25.6","+/-3.2","24.6","+/-3.1"
"003","White alone or in combination with one or more other races",254,"Related children under 18 years","24.7","+/-3.0","23.7","+/-3.0"
"003","White alone or in combination with one or more other races",255,"Related children under 5 years","30.6","+/-5.6","30.4","+/-5.7"
"003","White alone or in combination with one or more other
