000,"Income in the past 12 months below poverty level:","41,057","+/-6,186","34,871","47,243"
"C17025",3.000,"Native","23,974","+/-4,160","19,814","28,134"
"C17025",4.000,"Foreign born:","17,083","+/-3,544","13,539","20,627"
"C17025",5.000,"Naturalized citizen","5,789","+/-1,474","4,315","7,263"
"C17025",6.000,"Not a citizen","11,294","+/-3,138","8,156","14,432"
"C17025",7.000,"Income in the past 12 months at or above poverty level:","660,747","+/-6,165","654,582","666,912"
"C17025",8.000,"Native","439,774"
