","Not Hispanic or Latino",268,"2 to 4 units","6.5","+/-0.9","5.7","+/-0.9"
"450","Not Hispanic or Latino",269,"5 or more units","14.6","+/-0.9","13.9","+/-1.0"
"450","Not Hispanic or Latino",270,"Mobile home, boat, RV, van, etc.","13.6","+/-1.0","13.2","+/-1.0"
"450","Not Hispanic or Latino",271,"Built 2000 or later","20.0","+/-1.3","20.1","+/-1.2"
"450","Not Hispanic or Latino",272,"Built 1990 to 1999","24.2","+/-1.4","24.6","+/-1.4"
"450","Not Hispanic or Latino",273,"Built 1980 to 1989","18.1","+/-1.0",
