"
"C01001B",.,"SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"C01001B",.,"Universe:  Black or African American alone population",,,,
"C01001B",1.000,"Total:","22,485","+/-3,831","18,654","26,316"
"C01001B",2.000,"Male:","9,818","+/-2,202","7,616","12,020"
"C01001B",3.000,"Under 18 years","2,796","+/-1,027","1,769","3,823"
"C01001B",4.000,"18 to 64 years","5,969","+/-1,529","4,440","7,498"
"C01001B",5.000,"65 years and over","1,053","+/-348","705","1,401"
"C01001B",6.000,"Female:","12,667","+/-2,155","10
