5,000 to $49,999","16,222","+/-1,994","14,228","18,216"
"B19131",30.000,"$50,000 to $59,999","37,998","+/-3,096","34,902","41,094"
"B19131",31.000,"$60,000 to $74,999","58,710","+/-3,147","55,563","61,857"
"B19131",32.000,"$75,000 to $99,999","82,223","+/-4,070","78,153","86,293"
"B19131",33.000,"$100,000 to $124,999","64,076","+/-3,555","60,521","67,631"
"B19131",34.000,"$125,000 to $149,999","44,990","+/-2,869","42,121","47,859"
"B19131",35.000,"$150,000 to $199,999","53,188","+/-3,100","50,088","56,288"
