6.000,"$40,000 to $44,999","377","+/-271","106","648"
"B20005F",67.000,"$45,000 to $49,999","0","+/-292","0","292"
"B20005F",68.000,"$50,000 to $54,999","324","+/-237","87","561"
"B20005F",69.000,"$55,000 to $64,999","629","+/-375","254","1,004"
"B20005F",70.000,"$65,000 to $74,999","71","+/-109","0","180"
"B20005F",71.000,"$75,000 to $99,999","486","+/-410","76","896"
"B20005F",72.000,"$100,000 or more","131","+/-157","0","288"
"B20005F",73.000,"Other:","10,633","+/-1,742","8,891","12,375"
"B20005F",74.000
