6.000,"Carpenters","N","N","N","N"
"B24020",97.000,"Construction laborers","N","N","N","N"
"B24020",98.000,"Electricians","N","N","N","N"
"B24020",99.000,"Painters and paperhangers","N","N","N","N"
"B24020",100.000,"Pipelayers, plumbers, pipefitters, and steamfitters","N","N","N","N"
"B24020",101.000,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers","N","N","N","N"
"B24020",102.000,"Other construction workers and helpers","N","N","N","N"
"B24020",10
