ime, year-round in the past 12 months:","5,013","+/-1,199","3,814","6,212"
"B20005F",51.000,"No earnings","0","+/-292","0","292"
"B20005F",52.000,"With earnings:","5,013","+/-1,199","3,814","6,212"
"B20005F",53.000,"$1 to $2,499 or loss","0","+/-292","0","292"
"B20005F",54.000,"$2,500 to $4,999","65","+/-106","0","171"
"B20005F",55.000,"$5,000 to $7,499","0","+/-292","0","292"
"B20005F",56.000,"$7,500 to $9,999","0","+/-292","0","292"
"B20005F",57.000,"$10,000 to $12,499","436","+/-434","2","870"
"B20005F",
