7.000,"Built 1970 to 1979","22,544","+/-2,163","20,381","24,707"
"B25036",8.000,"Built 1960 to 1969","23,275","+/-1,969","21,306","25,244"
"B25036",9.000,"Built 1950 to 1959","44,007","+/-2,644","41,363","46,651"
"B25036",10.000,"Built 1940 to 1949","20,592","+/-1,827","18,765","22,419"
"B25036",11.000,"Built 1939 or earlier","17,578","+/-1,827","15,751","19,405"
"B25036",12.000,"Renter occupied:","95,740","+/-3,668","92,072","99,408"
"B25036",13.000,"Built 2005 or later","540","+/-435","105","975"
"B25036"
