002B",.,"Universe:  Black or African American alone population 25 years and over",,,,
"C15002B",1.000,"Total:","14,276","+/-842","13,434","15,118"
"C15002B",2.000,"Male:","7,732","+/-487","7,245","8,219"
"C15002B",3.000,"Less than high school diploma","609","+/-296","313","905"
"C15002B",4.000,"High school graduate (includes equivalency)","2,910","+/-993","1,917","3,903"
"C15002B",5.000,"Some college or associate's degree","2,434","+/-925","1,509","3,359"
"C15002B",6.000,"Bachelor's degree or higher","1,779
