. citizen","3,600","+/-1,329","2,271","4,929"
"B05003B",23.000,"Not a U.S. citizen","4,011","+/-1,370","2,641","5,381"
"B05003C",.,"SEX BY AGE BY CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"B05003C",.,"Universe:  American Indian and Alaska Native alone population",,,,
"B05003C",1.000,"Total:","N","N","N","N"
"B05003C",2.000,"Male:","N","N","N","N"
"B05003C",3.000,"Under 18 years:","N","N","N","N"
"B05003C",4.000,"Native","N","N","N","N"
"B05003C",5.000,"Foreign born:","N","N","N","N"
