r races",229,"Married-couple family","76.4","+/-1.8","77.2","+/-1.9"
"003","White alone or in combination with one or more other races",230,"Median income (dollars)","51,147","+/-1,425","51,328","+/-1,432"
"003","White alone or in combination with one or more other races",231,"Male householder, no spouse present, family","6.7","+/-1.1","6.5","+/-1.1"
"003","White alone or in combination with one or more other races",232,"Median income (dollars)","31,289","+/-1,405","31,766","+/-1,434"
"003","White alone or 
