87.0,"Born in United States","104,895","+/-6,873","74.3","+/-2.6"
"DP02",88.0,"State of residence","40,933","+/-5,544","29.0","+/-2.9"
"DP02",89.0,"Different state","63,962","+/-4,463","45.3","+/-3.3"
"DP02",90.0,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)","4,333","+/-1,507","3.1","+/-1.0"
"DP02",91.0,"Foreign born","32,029","+/-4,254","22.7","+/-2.5"
"DP02",91.3,,,,,
"DP02",91.5,"U.S. CITIZENSHIP STATUS",,,,
"DP02",92.0,"Foreign-born population","32,029","+/-4,254","100",
