g and hunting, and forest and logging workers","0","+/-292","0","292"
"B24010",93.000,"Construction, extraction, maintenance, and repair occupations:","24,870","+/-2,684","22,186","27,554"
"B24010",94.000,"Construction and extraction occupations:","15,759","+/-2,114","13,645","17,873"
"B24010",95.000,"Supervisors, construction and extraction workers","2,331","+/-867","1,464","3,198"
"B24010",96.000,"Carpenters","3,428","+/-962","2,466","4,390"
"B24010",97.000,"Construction laborers","3,783","+/-1,117","2,66
